Product Name,Rating,Customers_Rated,Price,URL
Casual Sneaker Shoes for Men | Stylish and Comfortable,4.0 out of 5 stars,1085,1119.0,https://www.amazon.in/Red-Tape-Mens-White-Sneakers/dp/B0CG66FPS6/ref=sr_1_2?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-2
Mens Boss-Grip Uniform Dress Shoe,3.7 out of 5 stars,5441,733.0,https://www.amazon.in/BATA-BOSS-Grip-Brown-Uniform-8216033/dp/B096BGXWKT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-3
Mens Sm 648sports Running Shoes,4.1 out of 5 stars,6511,749.0,https://www.amazon.in/Sparx-SM-648-Orange-Sports-Shoes/dp/B08RNRM22T/ref=sr_1_4?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-4
Force 10 Sports Shoes for Men,3.7 out of 5 stars,689,588.0,https://www.amazon.in/Liberty-Force-Sports-Shoes-Mens/dp/B0BJ78MDRQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-5
"Signature Shoes for Men, Sports Shoes for Men, Running Shoes for Men, Men Shoes, Sports Shoes, Walking Shoes for Men, Sport Shoes for Men, Gym Shoes for Men",4.4 out of 5 stars,285,1350.0,https://www.amazon.in/JQR-Sports-Running-Walking-Signature-ASH-Rose-Gry-Z-BLK-G9/dp/B0CLJFKSZ5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-6
Mens Terminator (N) Running Shoes,3.8 out of 5 stars,3142,1264.0,https://www.amazon.in/Campus-Terminator-D-Gry-Running-Shoes/dp/B095T19ZQJ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-7
Birde Men Grey Mesh Sports Running Shoes -BRD-466_8,3.4 out of 5 stars,55,299.0,https://www.amazon.in/Birde-Sports-Running-Shoes-BRD-466_8/dp/B0928Y29N3/ref=sr_1_8?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-8
Men's Tarzan-11 White Casual Sneaker High-Neck Shoes with Lightweight Extra Cushion Lace-Up Shoes for Men's & Boy's…,3.8 out of 5 stars,916,749.0,https://www.amazon.in/ASIAN-Tarzan-11-Sneaker-High-Neck-Lightweight/dp/B0CD4HYHTC/ref=sr_1_9?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-9
"Men's Moonwalk-01 Sports Walking,Running & Gym Shoes with Eva Sole Extra Jump Casual Slip-on Shoes for Men's & Boy's…",3.9 out of 5 stars,2774,649.0,https://www.amazon.in/ASIAN-Moonwalk-01-Sports-Running-Walking/dp/B0B8DPDTFM/ref=sr_1_10?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-10
Mens Ignite ProRunning Shoes,3.9 out of 5 stars,2712,584.0,https://www.amazon.in/Campus-Ignite-PRO-Running-Shoes/dp/B09VH53R5R/ref=sr_1_11?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-11
Men's Dazzler Sneakers,4.0 out of 5 stars,5342,1523.0,https://www.amazon.in/Puma-Dazzler-Black-Puma-Silver-Sneaker/dp/B09RGJCVW6/ref=sr_1_13?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-13
"Memory Foam Mens Running Shoe with EVA Sole | Sports,Gym,Training,Walking,Jogging,Casual,School | Lightweight & Comfortable| Sneakers Lace-Up Athletics Loafer Gent's & Boy's D-2003",4.2 out of 5 stars,126,999.0,https://www.amazon.in/DOCTOR-EXTRA-SOFT-Lightweight-D-2003/dp/B0CX2S42S4/ref=sr_1_14?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-14
"Men's Wonder Sports Running,Walking & Gym Shoes with Casual Sneaker Lightweight Lace-Up Shoes for Men's Delta-20",3.9 out of 5 stars,4331,799.0,https://www.amazon.in/ASIAN-Delta-20-Sports-Running-Walking/dp/B09WLMCYLR/ref=sr_1_16?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-16
Men's Black Mesh Outdoor Casual Shoes,2.9 out of 5 stars,826,329.0,https://www.amazon.in/AADI-Black-Running-Sport-Shoes/dp/B0845N8X7J/ref=sr_1_18?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-18
Mens 8621 Formal Shoes,3.7 out of 5 stars,1185,579.0,https://www.amazon.in/Centrino-Black-Mens-Formal-8621-1/dp/B09C8MZN8X/ref=sr_1_19?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-19
Men's Sports Running Shoes Indus-251,3.7 out of 5 stars,4832,569.0,https://www.amazon.in/Lancer-White-Sports-Running-Indus-251/dp/B081LGL5QT/ref=sr_1_20?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-20
"Men's Everest-21 Sports Trekking & Hiking,Walking Hi-Neck Shoes with Rubber Outsole & Memory Foam Insole Lace-Up Shoes for Men's & Boy's",4.0 out of 5 stars,126,1299.0,https://www.amazon.in/ASIAN-Everest-21-High-Neck-Outsole-Lace-Up/dp/B0CKNKDV2G/ref=sr_1_21?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-21
Men's SLAKE Running Shoes,3.4 out of 5 stars,9,1119.0,https://www.amazon.in/Campus-SLAKE-L-Gry-Running-Shoes/dp/B0CV3CX63Z/ref=sr_1_22?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-22
